error_model,detection_outcome,min_err,max_err,avg_err,diff_vals_count,relative_sum
RANDOM_VALUE,TRUE_POSITIVE,3.26565527216804429855e-03,1.00000000000000000000e+00,5.01632827636083966638e-01,2,1.00326565527216793328e+00
RANDOM_VALUE,TRUE_POSITIVE,2.62152070133124847513e+46,1.10745738747695821404e+47,6.84804728805041530778e+46,2,1.36960945761008306156e+47
RANDOM_VALUE,TRUE_POSITIVE,4.43228155067032503212e-07,4.00204093309319830496e-06,2.22263454408011540409e-06,2,4.44526908816023080817e-06
RANDOM_VALUE,TRUE_POSITIVE,1.10893775362062863010e+00,1.84348955541149121018e+03,9.22299246582555952045e+02,2,1.84459849316511190409e+03
RANDOM_VALUE,TRUE_POSITIVE,5.13956106819035696276e-05,5.15391265545439569706e-03,2.60265413306814963335e-03,2,5.20530826613629926669e-03
RANDOM_VALUE,TRUE_POSITIVE,1.09907598030505902851e+48,6.74784380456369650175e+49,3.42887570129710096703e+49,2,6.85775140259420193405e+49
RANDOM_VALUE,TRUE_POSITIVE,2.06390343486129168582e-04,6.13795764054424175526e+00,3.06908201544386383119e+00,2,6.13816403088772766239e+00
RANDOM_VALUE,TRUE_POSITIVE,2.09292456876397636734e-06,5.00798491021026137560e-06,3.55045473948711887147e-06,2,7.10090947897423774293e-06
RANDOM_VALUE,TRUE_POSITIVE,1.60598387994110858301e-02,1.00000000000000000000e+00,5.08029919399705542915e-01,2,1.01605983879941108583e+00
RANDOM_VALUE,TRUE_POSITIVE,3.38179992631759684940e-03,1.00000000000000000000e+00,5.01690899963158853936e-01,2,1.00338179992631770787e+00
RANDOM_VALUE,TRUE_POSITIVE,4.92452446066016236159e-03,1.00000000000000000000e+00,5.02462262230330081181e-01,2,1.00492452446066016236e+00
RANDOM_VALUE,TRUE_POSITIVE,5.48774736575641684290e+69,5.48774736575641684290e+69,5.48774736575641684290e+69,1,5.48774736575641684290e+69
RANDOM_VALUE,TRUE_POSITIVE,1.11747264008687841041e-01,1.51702977424982599075e+00,8.14388519129256915896e-01,2,1.62877703825851383179e+00
RANDOM_VALUE,TRUE_POSITIVE,1.33285402324157127546e+289,1.33285402324157127546e+289,1.33285402324157127546e+289,1,1.33285402324157127546e+289
RANDOM_VALUE,TRUE_POSITIVE,3.51002731273945069678e+70,3.15948351154185994399e+73,1.58149676942729963543e+73,2,3.16299353885459927086e+73
RANDOM_VALUE,TRUE_POSITIVE,4.03529691509395962205e+305,,,2,
RANDOM_VALUE,TRUE_POSITIVE,7.08684343665220375556e+210,1.06576458903706121929e+214,5.33236636690363232333e+213,2,1.06647327338072646467e+214
